Test #,Test Name,Analyte Name,Analyte #,Reference Range,Units
322000,Comp. Metabolic Panel (14),"Carbon Dioxide, Total",001578,20-29,mmol/L
322000,Comp. Metabolic Panel (14),Glucose,001032,70-99,mg/dL
480293,CA 27.29 (Serial Monitor),PDF,511958,,
142134,CA 27.29,N,1,,
1321,Iron and TIBC,Iron Saturation,011362,15-55,%
1321,Iron and TIBC,Iron,001339,27-159,ug/dL
1321,Iron and TIBC,UIBC,001348,131-425,ug/dL
1321,Iron and TIBC,Iron Bind.Cap.(TIBC),001347,250-450,ug/dL
322000,Comp. Metabolic Panel (14),ALT (SGPT),001545,0-32,IU/L
322000,Comp. Metabolic Panel (14),AST (SGOT),001123,0-40,IU/L
322000,Comp. Metabolic Panel (14),Alkaline Phosphatase,001107,44-121,IU/L
322000,Comp. Metabolic Panel (14),"Bilirubin, Total",001099,0.0-1.2,mg/dL
322000,Comp. Metabolic Panel (14),BUN,001040,45832,mg/dL
322000,Comp. Metabolic Panel (14),"Globulin, Total",012039,1.5-4.5,g/dL
322000,Comp. Metabolic Panel (14),Albumin,001081,3.9-4.9,g/dL
322000,Comp. Metabolic Panel (14),"Protein, Total",001073,6.0-8.5,g/dL
322000,Comp. Metabolic Panel (14),Calcium,001016,8.7-10.2,mg/dL
322000,Comp. Metabolic Panel (14),Chloride,001206,96-106,mmol/L
322000,Comp. Metabolic Panel (14),Potassium,001180,3.5-5.2,mmol/L
322000,Comp. Metabolic Panel (14),Creatinine,001370,0.57-1.00,mg/dL
322000,Comp. Metabolic Panel (14),eGFR,100779,>59,mL/min/1.73
322000,Comp. Metabolic Panel (14),BUN/Creatinine Ratio,011577,45923,
322000,Comp. Metabolic Panel (14),Sodium,001198,134-144,mmol/L
480293,CA 27.29 (Serial Monitor),CA 27.29,142134,0.0-38.6,U/mL
322000,Comp. Metabolic Panel (14),Albumin,001081,3.8-4.9,g/dL
322000,Comp. Metabolic Panel (14),Calcium,001016,8.7-10.3,mg/dL
322000,Comp. Metabolic Panel (14),BUN,001040,45896,mg/dL
1537,Magnesium,Magnesium,001537,1.6-2.3,mg/dL
322000,Comp. Metabolic Panel (14),BUN/Creatinine Ratio,011577,46019,
322000,Comp. Metabolic Panel (14),BUN/Creatinine Ratio,011577,45920,
322000,Comp. Metabolic Panel (14),Albumin,001081,4.1-5.1,g/dL
322000,Comp. Metabolic Panel (14),ALT (SGPT),001545,0-44,IU/L
322000,Comp. Metabolic Panel (14),Creatinine,001370,0.76-1.27,mg/dL
322000,Comp. Metabolic Panel (14),Calcium,001016,8.6-10.2,mg/dL
480095,CEA (Serial Monitor),CEA,002169,0.0-4.7,ng/mL
480095,CEA (Serial Monitor),PDF,511958,,
322000,Comp. Metabolic Panel (14),BUN/Creatinine Ratio,011577,45954,
480098,CEA (Roche),N,1,,
5009,CBC With Differential/Platelet,Lymphs,015123,Not Estab.,%
5009,CBC With Differential/Platelet,Lymphs (Absolute),015917,0.7-3.1,x10E3/uL
5009,CBC With Differential/Platelet,Monocytes,015131,Not Estab.,%
5009,CBC With Differential/Platelet,Neutrophils (Absolute),015909,1.4-7.0,x10E3/uL
5009,CBC With Differential/Platelet,RBC,005033,3.77-5.28,x10E6/uL
5009,CBC With Differential/Platelet,Hematocrit,005058,34.0-46.6,%
5009,CBC With Differential/Platelet,Platelets,015172,150-450,x10E3/uL
5009,CBC With Differential/Platelet,MCHC,015081,31.5-35.7,g/dL
5009,CBC With Differential/Platelet,MCH,015073,26.6-33.0,pg
